condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine,pixel_count,assigned
B0,4,8,6,0.9000491324233417,1,False
B0,5,8,6,0.9976779261960683,354671,False
B0,6,8,6,0.9993380773616567,323250,True
B0,7,8,6,0.9900029918835058,2924,False
B0,8,8,6,0.9924643721206473,32207,False
B1,1,1,1,0.9999438523691415,716274,True
B1,2,1,1,0.9764744021215619,45,False
B1,3,1,1,0.9026758373800835,0,False
B1,4,1,1,0.8657636650934981,0,False
B1,5,1,1,0.9900641799106509,17180,False
B1,6,1,1,0.998420142930257,20760,False
B1,7,1,1,0.9972080933959568,928,False
B1,8,1,1,0.9793753632998681,0,False
B1,1,2,6,0.9993388770758973,29844,False
B1,2,2,6,0.9717196595624389,9182,False
B1,3,2,6,0.908403869267701,0,False
B1,4,2,6,0.8715454732577588,0,False
B1,5,2,6,0.9917866628866588,4518,False
B1,6,2,6,0.9994628666338418,211856,True
B1,7,2,6,0.9964215616288357,3686,False
B1,8,2,6,0.9827630449281708,0,False
B1,1,3,4,0.9779632853498217,9542,False
B1,2,3,4,0.9142091427764569,10,False
B1,3,3,4,0.9716935663827784,70061,False
B1,4,3,4,0.9498926258877354,139934,True
B1,5,3,4,0.9952408775050083,43617,False
B1,6,3,4,0.9852347216941362,90384,False
B1,7,3,4,0.9628765773642507,1077,False
B1,8,3,4,0.9997277782159804,273134,False
B1,1,4,5,0.9991497036550296,215950,False
B1,2,4,5,0.9665376163365033,5,False
B1,3,4,5,0.9211077794255412,0,False
B1,4,4,5,0.8840719065825904,0,False
B1,5,4,5,0.9954345417963983,130034,True
B1,6,4,5,0.9991270392241758,28002,False
B1,7,4,5,0.9930135363784206,82,False
B1,8,4,5,0.9863553825375251,0,False
B1,1,5,3,0.9887678405645379,23984,False
B1,2,5,3,0.9341289700990549,40,False
B1,3,5,3,0.9580790281386574,18851,True
B1,4,5,3,0.9241458427849127,0,False
B1,5,5,3,0.9998407474383582,326680,False
B1,6,5,3,0.9931069884635674,71538,False
B1,7,5,3,0.9753668275625089,72,False
B1,8,5,3,0.9967027665720973,2423,False
B1,1,6,7,0.9982592364977998,10396,False
B1,2,6,7,0.9709286884817006,135,False
B1,3,6,7,0.9099027202960058,0,False
B1,4,6,7,0.8815182181702479,58,False
B1,5,6,7,0.9904351860341509,267,False
B1,6,6,7,0.9990261395354195,85551,False
B1,7,6,7,0.9964174282351806,58408,True
B1,8,6,7,0.9853478152182331,5179,False
B1,1,7,2,0.99735057826739,308676,False
B1,2,7,2,0.9852667708194376,78719,True
B1,3,7,2,0.8752718651217073,0,False
B1,4,7,2,0.8397059110813313,0,False
B1,5,7,2,0.9794261265532598,443,False
B1,6,7,2,0.9946227957136591,204830,False
B1,7,7,2,0.9999123686015983,520815,False
B1,8,7,2,0.96780892081435,0,False
B1,1,8,8,0.9975270312558355,2806,False
B1,2,8,8,0.9606545178627077,23,False
B1,3,8,8,0.9267291716237316,0,False
B1,4,8,8,0.8934452200871386,0,False
B1,5,8,8,0.996066040598532,3107,False
B1,6,8,8,0.9997217123510815,159723,False
B1,7,8,8,0.9918987661307723,446,False
B1,8,8,8,0.9906656526709279,2975,True
A0,1,1,6,0.9992063972157019,100577,False
A0,2,1,6,0.9685035444448634,9388,False
A0,3,1,6,0.9163829828755681,0,False
A0,4,1,6,0.8834424416937414,0,False
A0,5,1,6,0.9936452420396784,20302,False
A0,6,1,6,0.9999141097692813,540678,True
A0,7,1,6,0.9953720350682544,85260,False
A0,8,1,6,0.9868264508360911,12920,False
A0,1,2,2,0.996083160042652,33052,False
A0,2,2,2,0.9872872724473498,62753,True
A0,3,2,2,0.8675350469683655,0,False
A0,4,2,2,0.8318993529633025,6,False
A0,5,2,2,0.976070668552634,37,False
A0,6,2,2,0.9928590546045721,36815,False
A0,7,2,2,0.999826212123729,160191,False
A0,8,2,2,0.9638190603870594,3,False
A0,1,3,5,0.9989895303775924,650237,False
A0,2,3,5,0.96518767687277,120,False
A0,3,3,5,0.923395520417578,547,False
A0,4,3,5,0.8888121225685588,4,False
A0,5,3,5,0.9958486076664652,165425,True
A0,6,3,5,0.9997023727471532,137440,False
A0,7,3,5,0.9931418780499537,7710,False
A0,8,3,5,0.9884118025404443,1110,False
A0,1,4,4,0.8467682850510884,0,False
A0,2,4,4,0.7257437261059136,0,False
A0,3,4,4,0.9919138246403005,43887,False
A0,4,4,4,0.9862858633491315,89911,True
A0,5,4,4,0.9078030527947326,0,False
A0,6,4,4,0.8647752554112177,0,False
A0,7,4,4,0.8086976624275186,31,False
A0,8,4,4,0.9288043708828496,8458,False
A0,1,5,1,0.9995369796388305,517907,True
A0,2,5,1,0.9689104874278034,7,False
A0,3,5,1,0.9164572228857056,360,False
A0,4,5,1,0.8809016107034435,14,False
A0,5,5,1,0.9941760485729815,294865,False
A0,6,5,1,0.9997505209120868,132322,False
A0,7,5,1,0.9949571785481384,35550,False
A0,8,5,1,0.985849528410753,770,False
A0,1,6,3,0.9733400978710391,266,False
A0,2,6,3,0.9045320850009879,26,False
A0,3,6,3,0.9776376641017614,40809,True
A0,4,6,3,0.9539455685252296,4320,False
A0,5,6,3,0.9941471843623519,35232,False
A0,6,6,3,0.9812075419527416,13400,False
A0,7,6,3,0.9560664736657309,417,False
A0,8,6,3,0.9986527667800464,211408,False
A0,1,7,7,0.9963284600742008,15418,False
A0,2,7,7,0.9861856792582712,15865,False
A0,3,7,7,0.8710997378040528,0,False
A0,4,7,7,0.8379722865767165,81,False
A0,5,7,7,0.9770733954898351,8,False
A0,6,7,7,0.993524190796527,5006,False
A0,7,7,7,0.9999634210336616,294463,True
A0,8,7,7,0.966280958484484,1461,False
A0,1,8,8,0.9785042348612503,15,False
A0,2,8,8,0.9145749187773732,0,False
A0,3,8,8,0.9705133244282911,3309,False
A0,4,8,8,0.9468408858236483,45656,False
A0,5,8,8,0.9956596602842314,9977,False
A0,6,8,8,0.9859885816286381,6983,False
A0,7,8,8,0.9637084867903785,1892,False
A0,8,8,8,0.9996987900123855,47581,True
M00,1,1,1,1.0,1317472,True
M00,2,1,1,0.9748655727216231,0,False
M00,3,1,1,0.9059727779665941,0,False
M00,4,1,1,0.8700537269927044,0,False
M00,5,1,1,0.9910384802793002,0,False
M00,6,1,1,0.9988415199487619,0,False
M00,7,1,1,0.9969135065410459,0,False
M00,8,1,1,0.9811727676179807,0,False
M00,1,2,2,0.9748655727216231,0,False
M00,2,2,2,1.0,88159,True
M00,3,2,2,0.8020727278789139,0,False
M00,4,2,2,0.771829485420237,0,False
M00,5,2,2,0.9393580232717595,0,False
M00,6,2,2,0.9662706616021992,0,False
M00,7,2,2,0.985331410463022,0,False
M00,8,2,2,0.9207715129987459,0,False
M00,1,3,3,0.9059727779665941,0,False
M00,2,3,3,0.8020727278789139,0,False
M00,3,3,3,1.0000000000000002,88912,True
M00,4,3,3,0.9829652303567792,0,False
M00,5,3,3,0.9532190155723237,0,False
M00,6,3,3,0.9199297616409827,0,False
M00,7,3,3,0.8742487691113179,0,False
M00,8,3,3,0.9662829730771878,0,False
M00,1,4,4,0.8700537269927044,0,False
M00,2,4,4,0.771829485420237,0,False
M00,3,4,4,0.9829652303567792,0,False
M00,4,4,4,1.0000000000000002,139992,True
M00,5,4,4,0.9183462002912386,0,False
M00,6,4,4,0.8865145568901601,0,False
M00,7,4,4,0.8405022687560673,0,False
M00,8,4,4,0.9444577543668362,0,False
M00,1,5,5,0.9910384802793002,0,False
M00,2,5,5,0.9393580232717595,0,False
M00,3,5,5,0.9532190155723237,0,False
M00,4,5,5,0.9183462002912386,0,False
M00,5,5,5,1.0000000000000004,525846,True
M00,6,5,5,0.9946656744236292,0,False
M00,7,5,5,0.9785938206262766,0,False
M00,8,5,5,0.9958418189209461,0,False
M00,1,6,6,0.9988415199487619,0,False
M00,2,6,6,0.9662706616021992,0,False
M00,3,6,6,0.9199297616409827,0,False
M00,4,6,6,0.8865145568901601,0,False
M00,5,6,6,0.9946656744236292,0,False
M00,6,6,6,1.0,872644,True
M00,7,6,6,0.9943244857667897,0,False
M00,8,6,6,0.9880715068578525,0,False
M00,1,7,7,0.9969135065410459,0,False
M00,2,7,7,0.985331410463022,0,False
M00,3,7,7,0.8742487691113179,0,False
M00,4,7,7,0.8405022687560673,0,False
M00,5,7,7,0.9785938206262766,0,False
M00,6,7,7,0.9943244857667897,0,False
M00,7,7,7,1.0,585514,True
M00,8,7,7,0.9678194599072972,0,False
M00,1,8,8,0.9811727676179807,0,False
M00,2,8,8,0.9207715129987459,0,False
M00,3,8,8,0.9662829730771878,0,False
M00,4,8,8,0.9444577543668362,0,False
M00,5,8,8,0.9958418189209461,0,False
M00,6,8,8,0.9880715068578525,0,False
M00,7,8,8,0.9678194599072972,0,False
M00,8,8,8,1.0,283711,True
M11,1,1,1,0.9999980946471745,1228042,True
